identity	ext	track	path	npages	ink_sum	ink_per_page	ink_max_page	max_page_no	major_pages	note	max_page_hint	prior_mentions	prior_rounds
071_Storyboard_Template_Cartoon_Theme_ae113de2__docx	docx	words	words/chartset-014/docx/071_Storyboard_Template_Cartoon_Theme_ae113de2.docx	1	0.14	0.1400	0.14	1	0	ok		2	words-group-transform;words-r51-flies
098_Business_Case_Template_Fillable_Layout_d0c5410e__docx	docx	words	words/chartset-008/docx/098_Business_Case_Template_Fillable_Layout_d0c5410e.docx	1	0.14	0.1400	0.14	1	0	ok		0	
Company_Seniority_Date_Calculator__xlsx	xlsx	sheets	sheets/done-008/xlsx/Company_Seniority_Date_Calculator.xlsx	12	0.14	0.0117	0.09	12	0	ok		4	dotnet;sheets-vision-02
Technical_Issue_Report_Form__docx	docx	words	words/done-003/docx/Technical_Issue_Report_Form.docx	2	0.14	0.0700	0.14	1	0	ok		5	rtf-bookmark-r88;words-border-style;words-r53;words-version-screen
002_Contextures_chart_sample_f605e7bc__xlsx	xlsx	sheets	sheets/chartset-012/xlsx/002_Contextures_chart_sample_f605e7bc.xlsx	8	0.13	0.0163	0.09	3	0	ok		0	
006_Contextures_chart_sample_afa23b53__xlsx	xlsx	sheets	sheets/chartset-006/xlsx/006_Contextures_chart_sample_afa23b53.xlsx	5	0.13	0.0260	0.10	2	0	ok		1	chart-axis-r87
007_Contextures_chart_sample_667d8e47__xlsm	xlsm	sheets	sheets/chartset-011/xlsm/007_Contextures_chart_sample_667d8e47.xlsm	7	0.13	0.0186	0.09	3	0	ok		1	slides-r59
020_Free_Blood_Pressure_Chart_and_Printable_Blood_Pressure_Log_8f8dcc39__xlsx	xlsx	sheets	sheets/chartset-012/xlsx/020_Free_Blood_Pressure_Chart_and_Printable_Blood_Pressure_Log_8f8dcc39.xlsx	6	0.13	0.0217	0.04	1	0	ok		1	sheets-r51-bands
034_Central_Idea_Hub_Diagram_8258e6ad__pptx	pptx	slides	slides/chartset-011/pptx/034_Central_Idea_Hub_Diagram_8258e6ad.pptx	3	0.13	0.0433	0.06	1	0	ok		0	
064_Four-Step_Success_Cycle_30c0a917__pptx	pptx	slides	slides/chartset-012/pptx/064_Four-Step_Success_Cycle_30c0a917.pptx	3	0.13	0.0433	0.06	1	0	ok		0	
073_Halo_Radial_for_PowerPoint_and_Google_Slides_4bd0918b__pptx	pptx	slides	slides/chartset-012/pptx/073_Halo_Radial_for_PowerPoint_and_Google_Slides_4bd0918b.pptx	3	0.13	0.0433	0.09	1	0	ok		0	
4-12-Kings-Attachment-13-Application-Architecture-Security-Requirements__xls	xls	sheets	sheets/done-003/xls/4-12-Kings-Attachment-13-Application-Architecture-Security-Requirements.xls	6	0.13	0.0217	0.11	5	0	ok		0	
cy06_primary_np_comm__xls	xls	sheets	sheets/done-010/xls/cy06_primary_np_comm.xls	11	0.13	0.0118	0.04	1	0	ok		4	ods-track-r88;sheets-r26;sheets-r31;sheets-r33
dragon-175066A__xlsx	xlsx	sheets	sheets/done-006/xlsx/dragon-175066A.xlsx	13	0.13	0.0100	0.04	11	0	ok		8	dotnet;sheets-pagination-01;sheets-rebase-02;words-r58
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42__docx	docx	words	words/chartset-005/docx/003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	1	0.12	0.1200	0.12	1	0	ok		1	words-group-transform
015_4-Option_Color_Wheel_Diagram_df7e4b8f__pptx	pptx	slides	slides/chartset-009/pptx/015_4-Option_Color_Wheel_Diagram_df7e4b8f.pptx	3	0.12	0.0400	0.06	1	0	ok		0	
016_advanced_excel_radar__xlsx	xlsx	sheets	sheets/chartset-001/xlsx/016_advanced_excel_radar.xlsx	3	0.12	0.0400	0.12	1	0	ok		0	
025_6-Option_Color_Wheel_Diagram_27e1c74d__pptx	pptx	slides	slides/chartset-009/pptx/025_6-Option_Color_Wheel_Diagram_27e1c74d.pptx	3	0.12	0.0400	0.06	1	0	ok		0	
032_advanced_excel_radar__xlsx	xlsx	sheets	sheets/chartset-001/xlsx/032_advanced_excel_radar.xlsx	3	0.12	0.0400	0.12	1	0	ok		0	
044_Dual_Mind_Spark_Chart_for_PowerPoint_a83f890a__pptx	pptx	slides	slides/chartset-006/pptx/044_Dual_Mind_Spark_Chart_for_PowerPoint_a83f890a.pptx	4	0.12	0.0300	0.05	1	0	ok		0	
Capability_List_9-14-2022_Dallas_Combined-Aircraft_Manuf_unsorted__xlsx	xlsx	sheets	sheets/done-011/xlsx/Capability_List_9-14-2022_Dallas_Combined-Aircraft_Manuf_unsorted.xlsx	147	0.12	0.0008	0.06	1	0	ok		2	ods-page-r77;ods-resid-r80
FAA-2017-0628-0002_attachment_1__docx	docx	words	words/done-008/docx/FAA-2017-0628-0002_attachment_1.docx	4	0.12	0.0300	0.09	1	0	ok		7	dotnet;words-b008-01
Lessons-Learned-Bulletin-Dorset-version-to-IIRG-V5__docx	docx	words	words/done-008/docx/Lessons-Learned-Bulletin-Dorset-version-to-IIRG-V5.docx	3	0.12	0.0400	0.04	1	0	ok		1	words-r54
combo_bar_line_chart__pptx	pptx	slides	slides/chartset-001/pptx/combo_bar_line_chart.pptx	1	0.12	0.1200	0.12	1	0	ok		12	odp-chart-r72;odp-running-r71;slides-r59;slides-r60
easa-form-1__docx	docx	words	words/done-002/docx/easa-form-1.docx	5	0.12	0.0240	0.09	1	0	ok		3	words-continuous-header-r70;words-continuous-r72;words-r61
template---tpr-technical-progress-report-with-guidance__docx	docx	words	words/pagination-001/docx/template---tpr-technical-progress-report-with-guidance.docx	7	0.12	0.0171	0.06	6	0	ok		12	dotnet;rtf-heading-r98;words-continuous-r72;words-pagination-01;words-r45;words-r46
020_5-Option_Color_Wheel_Diagram_104ea3b0__pptx	pptx	slides	slides/chartset-009/pptx/020_5-Option_Color_Wheel_Diagram_104ea3b0.pptx	3	0.11	0.0367	0.05	1	0	ok		0	
044_Cash_flow_forecast_Use_this_template_b8fa1f35__xlsx	xlsx	sheets	sheets/chartset-006/xlsx/044_Cash_flow_forecast_Use_this_template_b8fa1f35.xlsx	5	0.11	0.0220	0.10	2	0	ok		2	ink-pass-r92;slides-r59
AUWG min 4-3-24 final__docx	docx	words	words/done-002/docx/AUWG min 4-3-24 final.docx	2	0.11	0.0550	0.11	1	0	ok		1	words-justify-shrink
Company-profile-2022-EN__docx	docx	words	words/done-011/docx/Company-profile-2022-EN.docx	5	0.11	0.0220	0.04	1	0	ok		7	L1-text-metrics;dotnet;words-justify-shrink;words-r54;words-r55
Leadership Information Article__docx	docx	words	words/done-012/docx/Leadership Information Article.docx	3	0.11	0.0367	0.06	1	0	ok		0	
Trust Fund Excise Taxes Structure__pptx	pptx	slides	slides/done-001/pptx/Trust Fund Excise Taxes Structure.pptx	1	0.11	0.1100	0.11	1	0	ok		0	
b050-19__docx	docx	words	words/done-012/docx/b050-19.docx	3	0.11	0.0367	0.09	1	0	ok		6	odt-startx-r88;words-continuous-header-r70;words-continuous-r72;words-inline-effectextent
bar_chart__pptx	pptx	slides	slides/chartset-001/pptx/bar_chart.pptx	1	0.11	0.1100	0.11	1	0	ok		18	dotnet;slides-r59;slides-r60;slides-r62;stroke-resid-r117
033_Battery_Percentage_Chart_c99c24b5__pptx	pptx	slides	slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	3	0.10	0.0333	0.05	2	0	ok		0	
043_Buy_a_car_vs._rideshare_ff07c7e6__xlsx	xlsx	sheets	sheets/chartset-013/xlsx/043_Buy_a_car_vs._rideshare_ff07c7e6.xlsx	7	0.10	0.0143	0.08	1	0	ok		0	
070_Storyboard_Template_Blank_Format_fc41673a__docx	docx	words	words/chartset-014/docx/070_Storyboard_Template_Blank_Format_fc41673a.docx	1	0.10	0.1000	0.10	1	0	ok		0	
071_Funnel_Diagram_for_PowerPoint_with_5_Steps_5ceacdec__pptx	pptx	slides	slides/chartset-005/pptx/071_Funnel_Diagram_for_PowerPoint_with_5_Steps_5ceacdec.pptx	1	0.10	0.1000	0.10	1	0	ok		0	
2013-op12-Annex III - Curriculum Vitae__doc	doc	words	words/done-009/doc/2013-op12-Annex III - Curriculum Vitae.doc	3	0.10	0.0333	0.10	1	1	ok	top-centre: a fill or background shading we draw and the reference does not (0.85% of page, x 0.31-0.68, y 0.08-0.10)	1	fonts-r64
Chicago.List.2025__xlsx	xlsx	sheets	sheets/done-002/xlsx/Chicago.List.2025.xlsx	3	0.10	0.0333	0.06	2	0	ok		2	cond-format-r96;ods-notes-r92
Foreign_SA-CAT-I_and_CAT-II-III_Pub_0__xlsx	xlsx	sheets	sheets/done-004/xlsx/Foreign_SA-CAT-I_and_CAT-II-III_Pub_0.xlsx	16	0.10	0.0063	0.05	5	0	ok		6	dotnet;ink-pass-r92;ods-draw-r82
certification-flight-standards-doc-oeb-supporting-documents-tgl-TGL26-section-5-REV10__doc	doc	words	words/done-009/doc/certification-flight-standards-doc-oeb-supporting-documents-tgl-TGL26-section-5-REV10.doc	8	0.10	0.0125	0.05	7	0	ok		0	
037_Circle_Matrix_Framework_44bc5218__pptx	pptx	slides	slides/chartset-009/pptx/037_Circle_Matrix_Framework_44bc5218.pptx	3	0.09	0.0300	0.04	1	0	ok		0	
054_Flowchart_Board_Game_for_PowerPoint_and_Google_Slides_1b047962__pptx	pptx	slides	slides/chartset-007/pptx/054_Flowchart_Board_Game_for_PowerPoint_and_Google_Slides_1b047962.pptx	3	0.09	0.0300	0.05	2	0	ok		0	
062_Four-Step_Growth_Staircase_8a3ef338__pptx	pptx	slides	slides/chartset-011/pptx/062_Four-Step_Growth_Staircase_8a3ef338.pptx	3	0.09	0.0300	0.05	2	0	ok		0	
070_Funnel_Diagram_for_PowerPoint_with_4_Steps_975f1642__pptx	pptx	slides	slides/chartset-005/pptx/070_Funnel_Diagram_for_PowerPoint_with_4_Steps_975f1642.pptx	1	0.09	0.0900	0.09	1	0	ok		0	
074_Hashtag_Matrix_246eb8d9__pptx	pptx	slides	slides/chartset-012/pptx/074_Hashtag_Matrix_246eb8d9.pptx	3	0.09	0.0300	0.04	1	0	ok		0	
098_Leaning_Cards_Process_dadb3738__pptx	pptx	slides	slides/chartset-011/pptx/098_Leaning_Cards_Process_dadb3738.pptx	3	0.09	0.0300	0.05	1	0	ok		0	
NorwegianXPensionXFundXanalysisXexportsXandXLAWS-1__xls	xls	sheets	sheets/done-004/xls/NorwegianXPensionXFundXanalysisXexportsXandXLAWS-1.xls	8	0.09	0.0112	0.05	1	0	ok		0	
clustered-column-result__docx	docx	words	words/chartset-001/docx/clustered-column-result.docx	1	0.09	0.0900	0.09	1	0	ok		6	dotnet;rtf-shape-r73;stroke-resid-r117;words-continuous-r72
001_Contextures_chart_sample_b089bc34__xlsx	xlsx	sheets	sheets/chartset-013/xlsx/001_Contextures_chart_sample_b089bc34.xlsx	15	0.08	0.0053	0.07	12	1	ok	top-left: a fill or background shading we draw and the reference does not (0.55% of page, x 0.13-0.53, y 0.10-0.11)	3	chart-label-anchor;odf-gate-01;sheets-r63
014_3D_Radial_Block_List_for_PowerPoint_and_Google_Slides_0773075e__pptx	pptx	slides	slides/chartset-013/pptx/014_3D_Radial_Block_List_for_PowerPoint_and_Google_Slides_0773075e.pptx	3	0.08	0.0267	0.05	1	0	ok		0	
024_Free_Kids_Chore_Chart_Template_ad74bb34__xlsx	xlsx	sheets	sheets/chartset-009/xlsx/024_Free_Kids_Chore_Chart_Template_ad74bb34.xlsx	3	0.08	0.0267	0.05	2	0	ok		0	
036_Chevron_Process_Cards_3c8f0ea1__pptx	pptx	slides	slides/chartset-014/pptx/036_Chevron_Process_Cards_3c8f0ea1.pptx	3	0.08	0.0267	0.04	1	0	ok		0	
053_Organogram_Template_Creative_Theme_21657a3d__docx	docx	words	words/chartset-005/docx/053_Organogram_Template_Creative_Theme_21657a3d.docx	1	0.08	0.0800	0.08	1	0	ok		0	
056_Quarterly_sale_report_baa6bb0d__xlsx	xlsx	sheets	sheets/chartset-009/xlsx/056_Quarterly_sale_report_baa6bb0d.xlsx	4	0.08	0.0200	0.08	3	0	ok		0	
083_Project_tracker_Use_this_template_b38d057c__xlsx	xlsx	sheets	sheets/chartset-007/xlsx/083_Project_tracker_Use_this_template_b38d057c.xlsx	2	0.08	0.0400	0.05	2	0	ok		0	
085_Printable_Graph_Paper_Template_Excellent_Format_4bcae89a__docx	docx	words	words/chartset-005/docx/085_Printable_Graph_Paper_Template_Excellent_Format_4bcae89a.docx	1	0.08	0.0800	0.08	1	0	ok		0	
086_Printable_Graph_Paper_Template_Gray_Theme_7300e5d7__docx	docx	words	words/chartset-006/docx/086_Printable_Graph_Paper_Template_Gray_Theme_7300e5d7.docx	1	0.08	0.0800	0.08	1	0	ok		0	
ACRONYM__xls	xls	sheets	sheets/done-007/xls/ACRONYM.xls	69	0.08	0.0012	0.05	4	0	ok		0	
Contract_Check_Pilot_Sample_LOA__docx	docx	words	words/done-009/docx/Contract_Check_Pilot_Sample_LOA.docx	4	0.08	0.0200	0.05	1	0	ok		1	words-r58
UAE Type Accepted Aircraft Models__xlsx	xlsx	sheets	sheets/done-004/xlsx/UAE Type Accepted Aircraft Models.xlsx	6	0.08	0.0133	0.06	2	0	ok		3	L6-sheets;sheets-r55
aircraft_analysis_2016-04-27__xls	xls	sheets	sheets/done-013/xls/aircraft_analysis_2016-04-27.xls	46	0.08	0.0017	0.02	12	0	ok		15	dotnet;sheets-pagination-01;sheets-r36;sheets-r40;sheets-rebase-01;sheets-rebase-02
medicines_bulletin_february_2023_final__pptx	pptx	slides	slides/done-002/pptx/medicines_bulletin_february_2023_final.pptx	1	0.08	0.0800	0.08	1	0	ok		2	odp-embed-r79;odp-visual-r80
004_advanced_powerpoint_pie__pptx	pptx	slides	slides/chartset-004/pptx/004_advanced_powerpoint_pie.pptx	1	0.07	0.0700	0.07	1	0	ok		0	
005_advanced_excel_area__xlsx	xlsx	sheets	sheets/chartset-001/xlsx/005_advanced_excel_area.xlsx	3	0.07	0.0233	0.06	2	0	ok		0	
008_3-Circle_Venn_Diagram_024a12c5__pptx	pptx	slides	slides/chartset-012/pptx/008_3-Circle_Venn_Diagram_024a12c5.pptx	3	0.07	0.0233	0.03	1	0	ok		0	
012_advanced_powerpoint_pie__pptx	pptx	slides	slides/chartset-003/pptx/012_advanced_powerpoint_pie.pptx	1	0.07	0.0700	0.07	1	0	ok		1	slides-r53
013_advanced_excel_area__xlsx	xlsx	sheets	sheets/chartset-002/xlsx/013_advanced_excel_area.xlsx	3	0.07	0.0233	0.06	2	0	ok		1	sheets-r58
020_advanced_powerpoint_pie__pptx	pptx	slides	slides/chartset-004/pptx/020_advanced_powerpoint_pie.pptx	1	0.07	0.0700	0.07	1	0	ok		0	
028_advanced_powerpoint_pie__pptx	pptx	slides	slides/chartset-003/pptx/028_advanced_powerpoint_pie.pptx	1	0.07	0.0700	0.07	1	0	ok		1	slides-r62
029_advanced_excel_area__xlsx	xlsx	sheets	sheets/chartset-003/xlsx/029_advanced_excel_area.xlsx	3	0.07	0.0233	0.06	2	0	ok		0	
069_Funnel_Diagram_for_PowerPoint_with_3_Steps_f96396fc__pptx	pptx	slides	slides/chartset-005/pptx/069_Funnel_Diagram_for_PowerPoint_with_3_Steps_f96396fc.pptx	1	0.07	0.0700	0.07	1	0	ok		0	
CSCRS_Technical-Report-Documentation-Page-with-instructions__docx	docx	words	words/done-002/docx/CSCRS_Technical-Report-Documentation-Page-with-instructions.docx	2	0.07	0.0350	0.07	1	0	ok		0	
EASA-IFP-WEBLISTNOODATA-ListsofForeignapprovals(WEB)_NewChart_2022-08-05-03-31-32__xlsx	xlsx	sheets	sheets/ceiling-001/xlsx/EASA-IFP-WEBLISTNOODATA-ListsofForeignapprovals(WEB)_NewChart_2022-08-05-03-31-32.xlsx	19	0.07	0.0037	0.01	5	0	ok		0	
NCW-2024-Guide-__pptx	pptx	slides	slides/done-003/pptx/NCW-2024-Guide-.pptx	1	0.07	0.0700	0.07	1	0	ok		3	dotnet;pptx-field-r82
ROK-PI Climate Bulletin - Edition 2017-06__pptx	pptx	slides	slides/done-008/pptx/ROK-PI Climate Bulletin - Edition 2017-06.pptx	2	0.07	0.0350	0.05	1	0	ok		1	slides-solog-01
Software Architecture Document Template__docx	docx	words	words/done-004/docx/Software Architecture Document Template.docx	3	0.07	0.0233	0.07	1	0	ok		1	dotnet
alle einzeln__xlsx	xlsx	sheets	sheets/done-013/xlsx/alle einzeln.xlsx	186	0.07	0.0004	0.03	18	0	ok		65	L6-sheets;dotnet;gate-r111;gate-r122;mismatch-classify-01;o17-pivot-r97
001_advanced_excel_bar__xlsx	xlsx	sheets	sheets/chartset-001/xlsx/001_advanced_excel_bar.xlsx	3	0.06	0.0200	0.06	1	0	ok		1	chart-text-metafile
001_advanced_powerpoint_bar__pptx	pptx	slides	slides/chartset-002/pptx/001_advanced_powerpoint_bar.pptx	1	0.06	0.0600	0.06	1	0	ok		9	slides-r60;slides-r62
007_3_Circles_Diagram_for_PowerPoint_dac9f170__pptx	pptx	slides	slides/chartset-006/pptx/007_3_Circles_Diagram_for_PowerPoint_dac9f170.pptx	3	0.06	0.0200	0.03	1	0	ok		0	
009_advanced_powerpoint_bar__pptx	pptx	slides	slides/chartset-003/pptx/009_advanced_powerpoint_bar.pptx	1	0.06	0.0600	0.06	1	0	ok		0	
017_advanced_excel_bar__xlsx	xlsx	sheets	sheets/chartset-003/xlsx/017_advanced_excel_bar.xlsx	3	0.06	0.0200	0.06	1	0	ok		0	
017_advanced_powerpoint_bar__pptx	pptx	slides	slides/chartset-002/pptx/017_advanced_powerpoint_bar.pptx	1	0.06	0.0600	0.06	1	0	ok		0	
025_advanced_powerpoint_bar__pptx	pptx	slides	slides/chartset-004/pptx/025_advanced_powerpoint_bar.pptx	1	0.06	0.0600	0.06	1	0	ok		0	
033_advanced_excel_bar__xlsx	xlsx	sheets	sheets/chartset-001/xlsx/033_advanced_excel_bar.xlsx	3	0.06	0.0200	0.06	1	0	ok		0	
033_advanced_powerpoint_bar__pptx	pptx	slides	slides/chartset-002/pptx/033_advanced_powerpoint_bar.pptx	1	0.06	0.0600	0.06	1	0	ok		2	slides-r62
058_Social_media_engagement_data_cfa1cb18__xlsx	xlsx	sheets	sheets/chartset-007/xlsx/058_Social_media_engagement_data_cfa1cb18.xlsx	1	0.06	0.0600	0.06	1	0	ok		1	sheets-r63
063_Four-Step_Infinity_Loop_3480185b__pptx	pptx	slides	slides/chartset-010/pptx/063_Four-Step_Infinity_Loop_3480185b.pptx	3	0.06	0.0200	0.03	1	0	ok		0	
074_Idea_planner_bacaa123__xlsx	xlsx	sheets	sheets/chartset-005/xlsx/074_Idea_planner_bacaa123.xlsx	1	0.06	0.0600	0.06	1	1	ok	top-left: a fill or background shading the reference has and we do not (0.58% of page, x 0.02-0.35, y 0.27-0.29)	0	
079_Org_charts_visual_248d1dcf__xlsx	xlsx	sheets	sheets/chartset-010/xlsx/079_Org_charts_visual_248d1dcf.xlsx	3	0.06	0.0200	0.05	1	0	ok		3	sheet-border-r115;stroke-resid-r117
089_Printable_Graph_Paper_Template_Simlpe_Format_3aff1c88__docx	docx	words	words/chartset-007/docx/089_Printable_Graph_Paper_Template_Simlpe_Format_3aff1c88.docx	1	0.06	0.0600	0.06	1	0	ok		0	
094_Intersecting_Teardrops_for_PowerPoint_and_Google_Slides_ff43aedb__pptx	pptx	slides	slides/chartset-006/pptx/094_Intersecting_Teardrops_for_PowerPoint_and_Google_Slides_ff43aedb.pptx	3	0.06	0.0200	0.04	1	0	ok		0	
09__docx	docx	words	words/done-007/docx/09.docx	2	0.06	0.0300	0.06	1	0	ok		1953	L1-text-metrics;L2-docx-layout;L3-docx-reader;L4-doc-legacy;L5-slides;L6-sheets
Curriculum-Schematic-E22-11052025__pptx	pptx	slides	slides/done-002/pptx/Curriculum-Schematic-E22-11052025.pptx	12	0.06	0.0050	0.03	12	0	ok		1	words-r58
PUR-0012-UTAS-GRAMS-SPA-Template-1-25-2024__doc	doc	words	words/done-008/doc/PUR-0012-UTAS-GRAMS-SPA-Template-1-25-2024.doc	6	0.06	0.0100	0.03	2	0	ok		0	
RCO_VOR_Master_List_082824__xlsx	xlsx	sheets	sheets/done-016/xlsx/RCO_VOR_Master_List_082824.xlsx	80	0.06	0.0008	0.04	78	0	ok		6	mismatch-classify-01;sheets-overflow-01;sheets-vision-02
RPA-Budgets-FY-17-19-20__xls	xls	sheets	sheets/done-003/xls/RPA-Budgets-FY-17-19-20.xls	4	0.06	0.0150	0.06	2	0	ok		0	
SSRO_Quarterly_Statistical_Bulletin_Q3201617_DATA__xlsx	xlsx	sheets	sheets/done-006/xlsx/SSRO_Quarterly_Statistical_Bulletin_Q3201617_DATA.xlsx	4	0.06	0.0150	0.03	1	0	ok		5	dotnet;ods-draw-r82;ods-resid-r80
clustered-column-template__docx	docx	words	words/chartset-001/docx/clustered-column-template.docx	1	0.06	0.0600	0.06	1	0	ok		3	dotnet;rtf-shape-r73;stroke-resid-r117
line_chart__pptx	pptx	slides	slides/chartset-001/pptx/line_chart.pptx	1	0.06	0.0600	0.06	1	0	ok		19	odp-chart-r72;odp-running-r71;slides-r59;slides-r60;slides-r63;stroke-resid-r117
stacked_bar_chart__pptx	pptx	slides	slides/chartset-001/pptx/stacked_bar_chart.pptx	1	0.06	0.0600	0.06	1	0	ok		9	slides-r59;slides-r60;slides-r62;stroke-resid-r117
009_advanced_excel_bar__xlsx	xlsx	sheets	sheets/chartset-004/xlsx/009_advanced_excel_bar.xlsx	3	0.05	0.0167	0.05	1	0	ok		1	slides-r63
025_advanced_excel_bar__xlsx	xlsx	sheets	sheets/chartset-001/xlsx/025_advanced_excel_bar.xlsx	3	0.05	0.0167	0.05	1	0	ok		1	sheets-r58
037_Venn_Diagram_Template_Four_Circle_764829a0__docx	docx	words	words/chartset-009/docx/037_Venn_Diagram_Template_Four_Circle_764829a0.docx	1	0.05	0.0500	0.05	1	0	ok		0	
045_Dual-Segment_Quadrant_14a57221__pptx	pptx	slides	slides/chartset-010/pptx/045_Dual-Segment_Quadrant_14a57221.pptx	3	0.05	0.0167	0.02	1	0	ok		0	
052_Flame_Percentage_Chart_d27d49c4__pptx	pptx	slides	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	3	0.05	0.0167	0.02	1	0	ok		0	
061_Regional_sales_chart_cb9eb690__xlsx	xlsx	sheets	sheets/chartset-006/xlsx/061_Regional_sales_chart_cb9eb690.xlsx	1	0.05	0.0500	0.05	1	0	ok		0	
068_Blue_inventory_list_Use_this_template_f9908489__xlsx	xlsx	sheets	sheets/chartset-012/xlsx/068_Blue_inventory_list_Use_this_template_f9908489.xlsx	4	0.05	0.0125	0.02	4	0	ok		0	
087_Simple_personal_budget_3cf9b1af__xlsx	xlsx	sheets	sheets/chartset-013/xlsx/087_Simple_personal_budget_3cf9b1af.xlsx	3	0.05	0.0167	0.02	1	0	ok		0	
097_Business_Case_Template_Elegant_Layout_3ba9cbf2__docx	docx	words	words/chartset-006/docx/097_Business_Case_Template_Elegant_Layout_3ba9cbf2.docx	2	0.05	0.0250	0.05	1	0	ok		4	chart-text-metafile;words-r53;words-r59;words-r61
1447__doc	doc	words	words/pagination-001/doc/1447.doc	4	0.05	0.0125	0.04	2	0	ok		56	L1-text-metrics;dotnet;font-class-01;lineheight-01;mismatch-classify-01;ppt-spacing-r115
Checklist for TC STC ETSO data packages to FAA_TIP rev 5__docx	docx	words	words/done-010/docx/Checklist for TC STC ETSO data packages to FAA_TIP rev 5.docx	3	0.05	0.0167	0.03	1	0	ok		0	
Press release_EUREKA labels ITEA 3 Cluster__docx	docx	words	words/done-007/docx/Press release_EUREKA labels ITEA 3 Cluster.docx	2	0.05	0.0250	0.03	2	0	ok		8	dotnet;words-close-r95;words-continuous-header-r70;words-continuous-r72;words-firstpage-r70;words-pagination-01
june_2025_published__xlsx	xlsx	sheets	sheets/done-005/xlsx/june_2025_published.xlsx	15	0.05	0.0033	0.02	2	0	ok		2	ods-resid-r80;sheets-rebase-02
008_Contextures_chart_sample_7ea7a1d7__xlsx	xlsx	sheets	sheets/chartset-008/xlsx/008_Contextures_chart_sample_7ea7a1d7.xlsx	5	0.04	0.0080	0.03	1	0	ok		1	stroke-resid-r117
013_Project_Timeline_Template_Blue_Background_4ea3475e__docx	docx	words	words/chartset-012/docx/013_Project_Timeline_Template_Blue_Background_4ea3475e.docx	1	0.04	0.0400	0.04	1	0	ok		0	
021_advanced_excel_area__xlsx	xlsx	sheets	sheets/chartset-002/xlsx/021_advanced_excel_area.xlsx	3	0.04	0.0133	0.03	2	0	ok		0	
035_Venn_Diagram_Template_Editable_Format_966dff5f__docx	docx	words	words/chartset-008/docx/035_Venn_Diagram_Template_Editable_Format_966dff5f.docx	1	0.04	0.0400	0.04	1	0	ok		0	
074_Storyboard_Template_Editable_Design_132436d1__docx	docx	words	words/chartset-007/docx/074_Storyboard_Template_Editable_Design_132436d1.docx	1	0.04	0.0400	0.04	1	0	ok		0	
088_To-do_list_with_progress_tracker_Use_this_template_8c438912__xlsx	xlsx	sheets	sheets/chartset-006/xlsx/088_To-do_list_with_progress_tracker_Use_this_template_8c438912.xlsx	1	0.04	0.0400	0.04	1	0	ok		0	
EASA-IFP-WEBLISTNOODATA-ListsofBASAapprovals_WEB__ListofValidBASAorganisations_2025-01-20-08-56-36__xlsx	xlsx	sheets	sheets/done-012/xlsx/EASA-IFP-WEBLISTNOODATA-ListsofBASAapprovals_WEB__ListofValidBASAorganisations_2025-01-20-08-56-36.xlsx	254	0.04	0.0002	0.01	53	0	ok		0	
ExampleWhiteListData__xlsx	xlsx	sheets	sheets/done-001/xlsx/ExampleWhiteListData.xlsx	6	0.04	0.0067	0.02	3	0	ok		0	
Liste-Zertifizierung-ChemKlimaschutzV-RPT__xls	xls	sheets	sheets/done-008/xls/Liste-Zertifizierung-ChemKlimaschutzV-RPT.xls	5	0.04	0.0080	0.02	2	0	ok		1	numfmt-r68
Performance__xlsx	xlsx	sheets	sheets/done-006/xlsx/Performance.xlsx	13	0.04	0.0031	0.02	12	0	ok		2	dotnet;underline-r118
data_20121018181533__xls	xls	sheets	sheets/done-008/xls/data_20121018181533.xls	57	0.04	0.0007	0.04	22	0	ok		1	words-vision-01
fleetfastfacts16nov2023__docx	docx	words	words/done-014/docx/fleetfastfacts16nov2023.docx	1	0.04	0.0400	0.04	1	0	ok		8	chart-fit-r97;frame-area-r85;probes;words-continuous-r72;words-r53;words-r54
loi_format_letter_of_intent-a-320-214-a330__doc	doc	words	words/done-005/doc/loi_format_letter_of_intent-a-320-214-a330.doc	10	0.04	0.0040	0.03	9	0	ok		1	dotnet
pie-chart-template__docx	docx	words	words/chartset-001/docx/pie-chart-template.docx	1	0.04	0.0400	0.04	1	0	ok		16	chart-inner-r110;chart-resid-r99;chart-smooth-r102;dotnet;probes;rtf-shape-r73
register-changes-in-may-2024---adujsted__xlsx	xlsx	sheets	sheets/done-006/xlsx/register-changes-in-may-2024---adujsted.xlsx	10	0.04	0.0040	0.03	7	0	ok		0	
003_2-Circle_Venn_Diagram_7ab74e5c__pptx	pptx	slides	slides/chartset-012/pptx/003_2-Circle_Venn_Diagram_7ab74e5c.pptx	3	0.03	0.0100	0.01	1	0	ok		0	
019_advanced_powerpoint_line__pptx	pptx	slides	slides/chartset-003/pptx/019_advanced_powerpoint_line.pptx	1	0.03	0.0300	0.03	1	0	ok		0	
023_advanced_excel_bubble__xlsx	xlsx	sheets	sheets/chartset-004/xlsx/023_advanced_excel_bubble.xlsx	3	0.03	0.0100	0.02	1	0	ok		0	
